celltype	matched_marker	node_id	node_name	node_type
TH1	IFNG	21209	IFNG	Protein
TH1	CD3G	20853	CD3G	Protein
TH1	IFNG	21662	IFNG	Protein
TH1	CD3E	20897	CD3E	Protein
TH1	IFNG	21253	IFNG	Gene
TH1	IFNG	21476	IFNG	RNA
TH1	CD3D	20898	CD3D	Protein
TH1	CD3G	20896	CD3G	Protein
TH1	CD4	20892	CD4	Protein
TH1	STAT4	20900	STAT4	Protein
TH1	STAT4	20736	STAT4	Protein
TH1	CD4	20847	CD4	Protein
TH1	CD3D	20849	CD3D	Protein
TH1	CD3E	20850	CD3E	Protein
TH1	IFNG	21585	IFNG	Protein
TH17	IL21	21329	IL21	RNA
TH17	IL17A	21254	IL17A	RNA
TH17	IL17A	21649	IL17A	Protein
TH17	IL17A	21289	IL17A	Gene
TH17	STAT3	21144	STAT3	Protein
TH17	IL21	21036	IL21	Protein
TH17	IL21	21636	IL21	Protein
TH17	STAT3	21225	STAT3	Protein
TH17	IL21	21400	IL21	Gene
TH17	IL21	21577	IL21	Protein
TFH	PDCD1	21105	PDCD1	Protein
TFH	CXCR5	21200	CXCR5	Protein
TFH	ICOS	21108	ICOS	Protein
TFH	CXCR5	20518	CXCR5	Protein
TFH	ICOS	20814	ICOS	Protein
TFH	PDCD1	20960	PDCD1	Protein
TREG	IL2RA	20663	IL2RA	Protein
TREG	IL2RA	21244	IL2RA	Gene
TREG	CTLA4	20839	CTLA4	Protein
TREG	IL2RA	21128	IL2RA	Protein
TREG	IL2RA	21358	IL2RA	RNA
TREG	CTLA4	20975	CTLA4	Protein
TREG	IL2RA	21652	IL2RA	Protein
BCELL	CD79A	21100	CD79A	Protein
BCELL	BTK	21107	BTK	Protein
BCELL	TNFRSF13B	20610	TNFRSF13B	Protein
BCELL	TNFRSF13C	20681	TNFRSF13C	Protein
BCELL	TNFRSF13C	20674	TNFRSF13C	Protein
BCELL	BTK	20756	BTK	Protein
BCELL	CD79A	21181	CD79A	Protein
BCELL	CD79B	21182	CD79B	Protein
BCELL	TNFRSF13B	20947	TNFRSF13B	Protein
BCELL	CD79B	21101	CD79B	Protein
PLASMA	TNFRSF17	21028	TNFRSF17	Protein
PLASMA	TNFRSF17	20604	TNFRSF17	Protein
M1	IL1B	21666	IL1B	Protein
M1	FCGR1A	21093	FCGR1A	Protein
M1	FCGR1A	21430	FCGR1A	RNA
M1	TNF	21571	TNF	Protein
M1	CXCL10	21262	CXCL10	RNA
M1	CXCL10	21658	CXCL10	Protein
M1	CCR7	20952	CCR7	Protein
M1	IL6	21266	IL6	Gene
M1	IL6	21023	IL6	Protein
M1	CXCL10	21490	CXCL10	Gene
M1	TNF	21642	TNF	Protein
M1	IL6	21625	IL6	Protein
M1	IL1B	21237	IL1B	Gene
M1	IL6	21344	IL6	RNA
M1	IL6	21655	IL6	Protein
M1	TNF	20688	TNF	Protein
M1	CCR7	20614	CCR7	Protein
M1	TNF	21442	TNF	Gene
M1	IL1B	21446	IL1B	RNA
M1	FCGR1A	21518	FCGR1A	Gene
M1	FCGR1A	20792	FCGR1A	Protein
M1	TNF	21435	TNF	RNA
M1	CXCL10	21578	CXCL10	Protein
M1	TNF	21147	TNF	Protein
M2	TGFB1	20782	TGFB1	Protein
M2	TGFB1	21564	TGFB1	Protein
M2	IL10	21648	IL10	Protein
M2	IL10	21469	IL10	RNA
M2	IL10	21538	IL10	Gene
PDC	IRF7	20636	IRF7	Protein
PDC	IRF7	20799	IRF7	Protein
PDC	TLR7	20944	TLR7	Protein
PDC	IRF7	21346	IRF7	RNA
PDC	TLR7	20857	TLR7	Protein
PDC	IRF7	21278	IRF7	Protein
PDC	TLR9	20765	TLR9	Protein
PDC	TLR9	20824	TLR9	Protein
PDC	IRF7	21403	IRF7	Gene
