matched_cytokine	node_id	node_name	node_type
CCL21	21657	CCL21	Protein
TNFSF13B	21667	TNFSF13B	Protein
IL1B	21666	IL1B	Protein
CXCL9	21290	CXCL9	Gene
IFNG	21209	IFNG	Protein
IL23A	21633	IL23A	Protein
LTA	21575	LTA	Protein
IFNB1	21615	IFNB1	Protein
IL21	21329	IL21	RNA
IL15	21310	IL15	RNA
IFNG	21662	IFNG	Protein
TNF	21571	TNF	Protein
LTA	20744	LTA	Protein
CXCL10	21262	CXCL10	RNA
CXCL10	21658	CXCL10	Protein
IL17A	21254	IL17A	RNA
IFNB1	21265	IFNB1	Gene
IL15	21562	IL15	Protein
IL6	21266	IL6	Gene
CXCL9	21645	CXCL9	Protein
CCL19	21567	CCL19	Protein
CCL4	21637	CCL4	Protein
CXCL13	21580	CXCL13	Protein
CCL3	21341	CCL3	RNA
IFNB1	21263	IFNB1	RNA
CXCL11	21622	CXCL11	Protein
IL17A	21649	IL17A	Protein
IL23A	21375	IL23A	Gene
CCL5	21373	CCL5	Gene
TNFSF13B	20680	TNFSF13B	Protein
IL6	21023	IL6	Protein
CCL4	21277	CCL4	Gene
IL17A	21289	IL17A	Gene
CXCL10	21490	CXCL10	Gene
TNFSF14	21565	TNFSF14	Protein
TNF	21642	TNF	Protein
IFNG	21253	IFNG	Gene
IFNG	21476	IFNG	RNA
CCL19	20985	CCL19	Protein
IL6	21625	IL6	Protein
IL15	21647	IL15	Protein
CXCL11	21267	CXCL11	RNA
CCL19	21659	CCL19	Protein
CXCL9	21579	CXCL9	Protein
CCL3	21338	CCL3	Gene
CXCL11	21246	CXCL11	Gene
LTB	21623	LTB	Protein
CCL5	21651	CCL5	Protein
IL1B	21237	IL1B	Gene
CCL2	21445	CCL2	Gene
IL6	21344	IL6	RNA
CCL2	21089	CCL2	Protein
CXCL13	21199	CXCL13	Protein
IL15	21193	IL15	Protein
CCL21	21609	CCL21	Protein
CCL19	21443	CCL19	Gene
IFNB1	21635	IFNB1	Protein
CXCL11	21632	CXCL11	Protein
CCL3	21669	CCL3	Protein
IL21	21036	IL21	Protein
IL15	21337	IL15	Gene
IL21	21636	IL21	Protein
CCL5	21120	CCL5	Protein
CCL4	21241	CCL4	RNA
IL6	21655	IL6	Protein
TNF	20688	TNF	Protein
CCL21	21380	CCL21	Gene
CCL19	21535	CCL19	RNA
CCL5	21239	CCL5	RNA
IL10	21648	IL10	Protein
TNF	21442	TNF	Gene
TNFSF13B	21480	TNFSF13B	RNA
IL1B	21446	IL1B	RNA
IL21	21400	IL21	Gene
IL10	21469	IL10	RNA
CCL2	21311	CCL2	RNA
IL21	21577	IL21	Protein
CCL5	21559	CCL5	Protein
TNFSF13B	21275	TNFSF13B	Gene
CCL2	21572	CCL2	Protein
IL10	21538	IL10	Gene
CCL21	21410	CCL21	RNA
CCL2	21641	CCL2	Protein
IL23A	21368	IL23A	RNA
CXCL9	21318	CXCL9	RNA
TNF	21435	TNF	RNA
CXCL10	21578	CXCL10	Protein
IFNB1	21223	IFNB1	Protein
TNFSF13	21581	TNFSF13	Protein
IFNG	21585	IFNG	Protein
TNF	21147	TNF	Protein
TNFSF13B	21563	TNFSF13B	Protein
