node_id	node_name	node_type	compartment_id	role	rule	confidence	plausibility_score	source
20514	LMNB1	Protein	20513	core	R6c	LOW	70	Lamin B1 housekeeping
20515	HNRNPA2B1	Protein	20513	core	R6c	LOW	70	RNA binding housekeeping
20516	RAC1	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20517	NLRC5	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20519	NFKBIA	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20520	LTB-TNFSF14/LTBR	Complex	20513	core	R6	LOW	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20522	LTBR	Protein	20513	core	R6c	MEDIUM	75	LTβR stromal/epithelial PMID:9716579
20523	IFNAR	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20524	IFNAR1	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015 PMID:25613900; Reactome:R-HSA-909733; ubiquitous
20525	IFNAR2	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20526	dsRNA	Simple molecule	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20527	PPP2R1A	Protein	20513	core	R6c	LOW	70	PP2A scaffold
20528	XIAP	Protein	20513	core	R6c	LOW	70	X-IAP
20529	AKT	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20530	PTPN2	Protein	20513	core	R6c	MEDIUM	75	TC-PTP ubiquitous PMID:21646515
20531	CARD11/BCL10/MALT1	Complex	20513	core	R6c	MEDIUM	82	CBM complex lymphoid
20532	CARD11	Protein	20513	core	R6c	MEDIUM	82	CBM signalosome; PMID:14684827 lymphoid
20533	BCL10	Protein	20513	core	R6c	MEDIUM	80	CBM signalosome PMID:14684827
20534	MALT1	Protein	20513	core	R6c	MEDIUM	80	CBM signalosome
20535	LTBR	Protein	20513	core	R6c	MEDIUM	75	LTβR stromal/epithelial PMID:9716579
20536	Allergen/IgE/FCERI	Complex	20513	core	R4	MEDIUM	65	Reactome:R-HSA-2871837 via MINERVA notes
20542	MAP2K3	Protein	20513	core	R6c	MEDIUM	75	MKK3 p38
20546	TRIM14	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20547	OAS3	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20549	PTK2B	Protein	20513	core	R6c	MEDIUM	75	Pyk2 hematopoietic
20550	PLCG	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20552	TBK1	Protein	20513	core	R6c	MEDIUM	75	Reactome:R-HSA-936964; ubiquitous innate
20553	IKBKE	Protein	20513	core	R6c	MEDIUM	75	IKKε/IRF3 axis; Reactome:R-HSA-936964
20554	CASP7	Protein	20513	core	R6c	MEDIUM	75	Executioner caspase
20555	SOS2	Protein	20513	core	R6c	LOW	72	RAS GEF
20556	RPLP0	Protein	20513	core	R6c	LOW	70	Ribosomal P0
20557	PI3K	Protein	20513	core	R6c	LOW	72	PI3K ubiquitous
20558	TNFRSF11A	Protein	20513	core	R6c	MEDIUM	78	RANK; PMID:9168116 osteoclast/myeloid
20559	IFI30	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20560	MAVS	Protein	20513	core	R6c	MEDIUM	78	RLR adaptor; PMID:16125763
20561	TICAM1	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20562	MTORC1	Complex	20513	core	R6c	LOW	72	mTOR complex 1
20563	MLST8	Protein	20513	core	R6c	LOW	70	mTOR partner
20564	MTOR	Protein	20513	core	R6c	LOW	72	mTOR ubiquitous
20565	RPTOR	Protein	20513	core	R6c	LOW	70	mTORC1 partner
20567	PLCB	Protein	20513	core	R6c	LOW	70	PLC-β
20568	HLA-H	Protein	20513	core	R6c	LOW	70	MHC-I pseudo
20569	STAT1 homodimer	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20570	HLA-B	Protein	20513	core	R6c	MEDIUM	78	MHC-I
20571	STAT5A/B	Protein	20513	core	R6c	MEDIUM	78	KEGG:hsa04630
20576	BLNK	Protein	20513	core	R3	HIGH	95	HGNC:14211; B cell adaptor (UniProt Q8WV28)
20577	FADD	Protein	20513	core	R6c	LOW	72	Death adaptor; ubiquitous
20578	MAP3K14	Protein	20513	core	R6c	MEDIUM	75	NIK non-canonical NFkB
20579	JAK3	Protein	20513	core	R6c	MEDIUM	82	PMID:7481803 JAK3 γc; lymphoid-restricted
20580	USP18	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20584	GLUT1	Protein	20513	core	R6c	LOW	70	SLC2A1 ubiquitous
20585	ITGA4/ITGB1	Complex	20513	core	R6c	MEDIUM	78	VLA-4
20587	ITGB1	Protein	20513	core	R6c	LOW	72	β1 integrin ubiquitous
20588	BST2	Protein	20513	core	R6c	MEDIUM	75	Tetherin ISG; PMID:18342598
20589	TNFAIP3	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20590	Ag/IgG/FCGR3A	Complex	20513	core	R5	LOW	50	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20594	IRAK4/IRAK1,2/IRAKM	Complex	20513	core	R6c	LOW	72	Myddosome; Reactome:R-HSA-975144
20595	IRAK4	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-9020702; PMID:12055258
20597	IRAK1,2	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-9020702 IL-1/TLR signal
20598	MARCHF8	Protein	20513	core	R6c	MEDIUM	75	MHC-II ubiquitin ligase PMID:18794341
20599	TRAF2/TRAF3	Complex	20513	core	R6c	LOW	72	TRAF complex
20600	TANK	Protein	20513	core	R6c	LOW	70	TBK1 partner
20601	TRAF3	Protein	20513	core	R6c	LOW	72	TNFR/TLR adaptor
20605	XAF1	Protein	20513	core	R6c	LOW	70	ISG; pro-apoptotic
20609	TYK2	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20610	TNFRSF13B	Protein	20513	core	R3	HIGH	95	HGNC:18153; TACI (UniProt O14836); PMID:11460154 BAFF
20611	NLRX1	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
