reaction_id	reaction_type	reactants	products	modifiers
re200	Transcription	21510:IRF1	21531:IRF1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re692	Transcription	21351:CSF2	21504:CSF2	21416:AP1
re229	Physical stimulation	21062:HLA-DQA1	21548:MHC_Class_2_Activation	
re530	State transition	21466:HNRNPA2B1	20515:HNRNPA2B1	
re790	Negative influence	21320:CDKN1A	21552:Apoptosis	
re791	Negative influence	21363:SESN1	21552:Apoptosis	
re620	State transition	21382:CD40	20718:CD40	
re800	State transition	21030:MARCHF8	20598:MARCHF8	20588:BST2
re677	Physical stimulation	21065:FCGR1BP	21541:Inflammation	
re533	State transition	21507:PSME2	21217:PSME2	
re155	Transcription	21235:IFI6	21264:IFI6	21485:STAT1/STAT2/IRF9
re621	Heterodimer association	20702:IL1R1;21584:IL1	21109:IL1R	
re273	State transition	21298:MT2A	21156:MT2A	
re143	Transcription	21395:RSAD2	21405:RSAD2	20655:TLR3/dsRNA/PolyIC;20884:PRMT5;20943:TLR7/ssRNA;20956:CD40LG/CD40;21485:STAT1/STAT2/IRF9
re85	State transition	21083:STAT1	20569:STAT1 homodimer	
re164	State transition	21420:IP6K2	21073:IP6K2	
re564	State transition	21191:MAP2K1	20992:MAP2K1	20804:RAF
re159	Transcription	21473:HLA-A	21376:HLA-A	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re762	State transition	21279:TNFRSF10A	21067:TNFRSF10A,B	
re331	Heterodimer association	20691:CXCR2;21621:CXCL5	21043:CXCL5/CXCR2	
re765	Transcription	21471:SHISA5	21439:SHISA5	21233:TP53
re841	State transition	21312:HLA-DQA2	21010:HLA-DQA2	
re286	Transport	20780:EIF2AK2 homodimer	20879:EIF2AK2 homodimer	
re694	Transport	21504:CSF2	21654:CSF2	
re135	Transcription	21436:IP6K2	21420:IP6K2	21485:STAT1/STAT2/IRF9
re327	Heterodimer association	21157:CXCR1;21608:CXCL6	20829:CXCL6/CXCR1	
re848	State transition	21307:IFI27	20645:IFI27	
re460	Transcription	21340:IKBIP	21537:IKBIP	21233:TP53
re207	State transition	21317:IRF9	20649:IRF9	
re803	State transition	21502:ETS1	21152:ETS1	
re768	Transcription	21425:CD82	21374:CD82	21233:TP53
re245	Transcription	21422:TRIM25	21283:TRIM25	21240:STAT1 homodimer
re158	Transcription	21521:EIF2AK2	21454:EIF2AK2	21485:STAT1/STAT2/IRF9
re7	Transport	21047:STAT1/STAT2/IRF9	21485:STAT1/STAT2/IRF9	21018:KPNB1
re175	State transition	21383:IFIT3	21057:IFIT3	
re147	Transcription	21424:IFIT5	21282:IFIT5	21485:STAT1/STAT2/IRF9
re266	State transition	21281:TRIM34	21091:TRIM34	
re784	State transition	21299:GBP1	20626:GBP1	
re228	Physical stimulation	20757:HLA-DRA	21548:MHC_Class_2_Activation	
re139	Transcription	21347:OAS1	21402:OAS1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re261	State transition	21348:TRIM6	21142:TRIM6	
re338	Heterodimer association	20795:CXCR4;21604:CXCL12	20631:CXCL12/CXCR4	
re427	Heterodimer association	20807:FCGR3A;21605:Ag/IgG	20590:Ag/IgG/FCGR3A	
