reaction_id	reaction_type	reactants	products	modifiers
re73	State transition	20636:IRF7	20799:IRF7	20551:IKBKE/TBK1
re200	Transcription	21510:IRF1	21531:IRF1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re692	Transcription	21351:CSF2	21504:CSF2	21416:AP1
re229	Physical stimulation	21062:HLA-DQA1	21548:MHC_Class_2_Activation	
re530	State transition	21466:HNRNPA2B1	20515:HNRNPA2B1	
re790	Negative influence	21320:CDKN1A	21552:Apoptosis	
re791	Negative influence	21363:SESN1	21552:Apoptosis	
re620	State transition	21382:CD40	20718:CD40	
re800	State transition	21030:MARCHF8	20598:MARCHF8	20588:BST2
re680	Transport	20639:IRF1	21482:IRF1	
re677	Physical stimulation	21065:FCGR1BP	21541:Inflammation	
re533	State transition	21507:PSME2	21217:PSME2	
re155	Transcription	21235:IFI6	21264:IFI6	21485:STAT1/STAT2/IRF9
re273	State transition	21298:MT2A	21156:MT2A	
re143	Transcription	21395:RSAD2	21405:RSAD2	20655:TLR3/dsRNA/PolyIC;20884:PRMT5;20943:TLR7/ssRNA;20956:CD40LG/CD40;21485:STAT1/STAT2/IRF9
re85	State transition	21083:STAT1	20569:STAT1 homodimer	
re164	State transition	21420:IP6K2	21073:IP6K2	
re564	State transition	21191:MAP2K1	20992:MAP2K1	20804:RAF
re159	Transcription	21473:HLA-A	21376:HLA-A	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re762	State transition	21279:TNFRSF10A	21067:TNFRSF10A,B	
re765	Transcription	21471:SHISA5	21439:SHISA5	21233:TP53
re381	State transition	21393:IL1R1	20702:IL1R1	
re841	State transition	21312:HLA-DQA2	21010:HLA-DQA2	
re286	Transport	20780:EIF2AK2 homodimer	20879:EIF2AK2 homodimer	
re694	Transport	21504:CSF2	21654:CSF2	
re135	Transcription	21436:IP6K2	21420:IP6K2	21485:STAT1/STAT2/IRF9
re848	State transition	21307:IFI27	20645:IFI27	
re460	Transcription	21340:IKBIP	21537:IKBIP	21233:TP53
re207	State transition	21317:IRF9	20649:IRF9	
re803	State transition	21502:ETS1	21152:ETS1	
re245	Transcription	21422:TRIM25	21283:TRIM25	21240:STAT1 homodimer
re158	Transcription	21521:EIF2AK2	21454:EIF2AK2	21485:STAT1/STAT2/IRF9
re69	Transcription	21265:IFNB1	21263:IFNB1	21278:IRF7;21394:IRF5;21482:IRF1
re681	Transport	20854:IRF5	21394:IRF5	
re7	Transport	21047:STAT1/STAT2/IRF9	21485:STAT1/STAT2/IRF9	21018:KPNB1
re175	State transition	21383:IFIT3	21057:IFIT3	
re147	Transcription	21424:IFIT5	21282:IFIT5	21485:STAT1/STAT2/IRF9
re266	State transition	21281:TRIM34	21091:TRIM34	
re784	State transition	21299:GBP1	20626:GBP1	
re228	Physical stimulation	20757:HLA-DRA	21548:MHC_Class_2_Activation	
re139	Transcription	21347:OAS1	21402:OAS1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re261	State transition	21348:TRIM6	21142:TRIM6	
re338	Heterodimer association	20795:CXCR4;21604:CXCL12	20631:CXCL12/CXCR4	
re243	Transcription	21511:TRIM21	21539:TRIM21	20655:TLR3/dsRNA/PolyIC;21240:STAT1 homodimer
re265	State transition	21283:TRIM25	20666:TRIM25	
re761	Transcription	21453:TNFRSF10A	21279:TNFRSF10A	21233:TP53
re846	State transition	21524:HLA-C	20996:HLA-C	
re654	Physical stimulation	20546:TRIM14	21541:Inflammation	
re845	State transition	21389:HLA-H	20568:HLA-H	
re72	State transition	21053:IRF3	21008:IRF3	20551:IKBKE/TBK1
re268	State transition	21296:PML	20798:PML	
re604	Transport	21211:SMAD2/SMAD3/SMAD4	21332:SMAD2/SMAD3/SMAD4	
re780	State transition	21270:GBP2	20706:GBP2	
re145	Transcription	21483:IFIT2	21434:IFIT2	21485:STAT1/STAT2/IRF9
re534	State transition	21387:LMNB1	20514:LMNB1	
re212	Physical stimulation	20996:HLA-C	21551:MHC_Class_1_Activation	
re235	Transcription	21449:FCGR1BP	21458:FCGR1BP	21240:STAT1 homodimer
re186	State transition	21531:IRF1	21094:IRF1	
re802	Transcription	21522:ETS1	21502:ETS1	21268:SP100
re629	Transcription	21293:CD80,86	21328:CD80,86	21370:IRF3
re805	Transport	21152:ETS1	21354:ETS1	
re861	State transition	21439:SHISA5	21184:SHISA5	
re787	State transition	21238:GBP5	20767:GBP5	
re84	Heterodimer association	20692:STAT2;21083:STAT1	21015:STAT1/STAT2	
re840	State transition	21448:HLA-DQA1	21062:HLA-DQA1	
re649	Physical stimulation	20559:IFI30	21541:Inflammation	
re144	Transcription	21401:IFI35	21285:IFI35	21485:STAT1/STAT2/IRF9
re373	State transition	21230:IFIH1	21183:IFIH1	20526:dsRNA;20666:TRIM25;20959:NLRC5;21118:UBE2L6
re806	Transport	20700:SP100	21268:SP100	
re227	Physical stimulation	21188:HLA-DRB4	21548:MHC_Class_2_Activation	
re137	Transcription	21444:ADAR	21479:ADAR	21485:STAT1/STAT2/IRF9
re208	State transition	21250:IRF5	20784:IRF5	
re600	Heterodimer association	21168:TGFBR1;21564:TGFB1	20781:TGF/TGFBR1	
re43	State transition	20924:CHUK/CHUK	21226:CHUK/CHUK	20971:MAP3K14
re187	State transition	21454:EIF2AK2	20665:EIF2AK2	
re385	Transport	21469:IL10	21648:IL10	
re838	State transition	21463:HLA-DRB4	21188:HLA-DRB4	
re271	State transition	21458:FCGR1BP	21065:FCGR1BP	
re153	Transcription	21390:GBP2	21270:GBP2	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re83	State transition	21139:STAT2	20692:STAT2	20609:TYK2
re477	State transition	20902:ISG15	21080:ISG15	20620:HERC5;21082:UBA7;21118:UBE2L6
re776	State transition	21440:XAF1	20605:XAF1	
re634	Transcription	21290:CXCL9	21318:CXCL9	21485:STAT1/STAT2/IRF9
re142	Transcription	21295:OASL	21381:OASL	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re557	Transport	21476:IFNG	21662:IFNG	
re775	State transition	21167:ADAR	20833:ADAR1 homodimer	
re176	State transition	21282:IFIT5	20899:IFIT5	
re901	State transition	21225:STAT3	21144:STAT3	21042:JAK2
re215	Transcription	21305:IFI30	21303:IFI30	21240:STAT1 homodimer
re237	Transcription	21494:GBP4	21258:GBP4	21240:STAT1 homodimer
re709	Transcription	21338:CCL3	21341:CCL3	21394:IRF5
re221	Transcription	21260:HLA-DQA2	21312:HLA-DQA2	21240:STAT1 homodimer
re376	Transcription	21523:IL1R1	21393:IL1R1	20823:CpG_DNA/TLR9;20943:TLR7/ssRNA
re244	Transcription	21371:TRIM22	21323:TRIM22	21240:STAT1 homodimer
re632	Physical stimulation	21215:CD80,86	21553:T_Cell_Activation/Differentiation	
re801	State transition	20764:XIAP	20528:XIAP	20605:XAF1
re843	State transition	21384:HLA-B	20570:HLA-B	
re671	Heterodimer association	20821:CXCR3;21579:CXCL9	20976:CXCL9-10-11/CXCR3	
re174	State transition	21434:IFIT2	20928:IFIT2	
re655	Physical stimulation	20634:TRIM22	21541:Inflammation	
re172	State transition	21405:RSAD2	21054:RSAD2	
re146	Transcription	21388:IFIT3	21383:IFIT3	21485:STAT1/STAT2/IRF9
re847	Transcription	21460:IFI27	21307:IFI27	21485:STAT1/STAT2/IRF9
re171	State transition	21381:OASL	20751:OASL	
re238	Transcription	21379:GBP5	21238:GBP5	21240:STAT1 homodimer
re141	Transcription	21493:OAS3	21412:OAS3	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re242	Transcription	21252:TRIM14	21325:TRIM14	21240:STAT1 homodimer
re625	State transition	21461:LAMP3	20954:LAMP3	
re467	Transcription	21350:CDKN1A	21320:CDKN1A	21233:TP53
re555	State transition	21280:SOCS3	20638:SOCS3	
re779	State transition	21361:MX2	20685:MX2	
re163	Transcription	21495:HLA-H	21389:HLA-H	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re76	State transition	20774:JAK1	21012:JAK1	20625:SOCS1;20638:SOCS3;20752:PTPN6;20886:SOCS2;21020:IL6/IL6R;21031:IL7/IL7R;21035:IL21/IL21R;21084:IFNA/IFNAR;21127:IL2/IL2R;21192:IL15R;21204:CISH;21206:IFNG/IFNGR;21220:IFNB/IFNAR
re232	Transcription	21372:PML	21296:PML	21240:STAT1 homodimer
re526	Transcription	21286:RPLP0	21261:RPLP0	21366:STAT4 homodimer
re672	Heterodimer association	20821:CXCR3;21578:CXCL10	20976:CXCL9-10-11/CXCR3	
re198	State transition	21236:SOCS2	20625:SOCS1	
re230	Physical stimulation	21010:HLA-DQA2	21548:MHC_Class_2_Activation	
re366	Heterodimer association	20953:TNFRSF1B;21571:TNF	20686:TNF/TNFR2	
re688	Heterodimer association	21475:JUN;21517:FOS	21416:AP1	
re148	Transcription	21533:MX1	21397:MX1	21485:STAT1/STAT2/IRF9
re97	State transition	20579:JAK3	20775:JAK3	20549:PTK2B;20625:SOCS1;20638:SOCS3;20886:SOCS2;21031:IL7/IL7R;21035:IL21/IL21R;21127:IL2/IL2R;21192:IL15R
re797	Physical stimulation	20923:RIPK3	21542:Regulated_Necrosis	
re170	State transition	21412:OAS3	20547:OAS3	
re556	State transition	21457:SOCS1	20886:SOCS2	
re156	Transcription	21313:BST2	21391:BST2	21485:STAT1/STAT2/IRF9
re157	Transcription	21288:IFIT1	21456:IFIT1	21485:STAT1/STAT2/IRF9
re250	Physical stimulation	21141:OAS2	21541:Inflammation	
re251	Physical stimulation	20547:OAS3	21541:Inflammation	
re201	Transcription	21316:IRF5	21250:IRF5	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re592	State transition	21131:MAP3K5	21039:MAP3K5	21064:DAXX
re168	State transition	21402:OAS1	21072:OAS1	
re8	Heterodimer association	20911:IFNGR;21585:IFNG	21206:IFNG/IFNGR	
re831	State transition	21301:GLUT1	20584:GLUT1	
re786	State transition	21258:GBP4	21203:GBP4	
re184	State transition	21264:IFI6	20876:IFI6	
re68	Transcription	21304:IFNA	21532:IFNA	20823:CpG_DNA/TLR9;20943:TLR7/ssRNA;21278:IRF7;21370:IRF3;21394:IRF5
re563	State transition	20778:SRC	21052:SRC	20805:GNAI
re149	Transcription	21514:MX2	21361:MX2	21485:STAT1/STAT2/IRF9
re645	Physical stimulation	20928:IFIT2	21541:Inflammation	
re735	Heterodimer association	21067:TNFRSF10A,B;21610:TNFSF10	21005:TRAIL/TRAILR	
re527	Transcription	21256:ARF1	21404:ARF1	21366:STAT4 homodimer
re202	Transcription	21403:IRF7	21346:IRF7	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re355	Heterodimer association	20718:CD40;21583:CD40LG	20956:CD40LG/CD40	
re603	Heterodimer association	20668:SMAD2/SMAD3;20906:SMAD4	21211:SMAD2/SMAD3/SMAD4	
re834	Heterodimer association	21229:FLT3;21560:FLT3LG	20737:FLT3LG/FLT3	
re218	Transcription	21326:HLA-DRB4	21463:HLA-DRB4	21240:STAT1 homodimer
re169	State transition	21437:OAS2	21141:OAS2	
re357	Heterodimer association	20628:IL6R;21625:IL6	21020:IL6/IL6R	
re525	Transcription	21489:HNRNPA2B1	21466:HNRNPA2B1	21366:STAT4 homodimer
re63	Transport	20799:IRF7	21278:IRF7	
re531	State transition	21261:RPLP0	20556:RPLP0	
re154	Transcription	21297:XAF1	21440:XAF1	21485:STAT1/STAT2/IRF9
re647	Physical stimulation	20899:IFIT5	21541:Inflammation	
re609	Transport	21496:VIM	21644:VIM	
