node_id	node_name	node_type	compartment_id	role	rule	confidence	plausibility_score	source
20514	LMNB1	Protein	20513	core	R6c	LOW	70	Lamin B1 housekeeping
20515	HNRNPA2B1	Protein	20513	core	R6c	LOW	70	RNA binding housekeeping
20520	LTB-TNFSF14/LTBR	Complex	20513	core	R6	LOW	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20522	LTBR	Protein	20513	core	R6c	MEDIUM	75	LTβR stromal/epithelial PMID:9716579
20523	IFNAR	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20524	IFNAR1	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015 PMID:25613900; Reactome:R-HSA-909733; ubiquitous
20525	IFNAR2	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015; Reactome:R-HSA-909733
20526	dsRNA	Simple molecule	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20527	PPP2R1A	Protein	20513	core	R6c	LOW	70	PP2A scaffold
20528	XIAP	Protein	20513	core	R6c	LOW	70	X-IAP
20530	PTPN2	Protein	20513	core	R6c	MEDIUM	75	TC-PTP ubiquitous PMID:21646515
20535	LTBR	Protein	20513	core	R6c	MEDIUM	75	LTβR stromal/epithelial PMID:9716579
20542	MAP2K3	Protein	20513	core	R6c	MEDIUM	75	MKK3 p38
20546	TRIM14	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20547	OAS3	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20548	TICAM2	Protein	20513	core	R6c	MEDIUM	78	TRAM; TLR4 adaptor; PMID:14530373
20552	TBK1	Protein	20513	core	R6c	MEDIUM	75	Reactome:R-HSA-936964; ubiquitous innate
20553	IKBKE	Protein	20513	core	R6c	MEDIUM	75	IKKε/IRF3 axis; Reactome:R-HSA-936964
20554	CASP7	Protein	20513	core	R6c	MEDIUM	75	Executioner caspase
20555	SOS2	Protein	20513	core	R6c	LOW	72	RAS GEF
20556	RPLP0	Protein	20513	core	R6c	LOW	70	Ribosomal P0
20557	PI3K	Protein	20513	core	R6c	LOW	72	PI3K ubiquitous
20559	IFI30	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20560	MAVS	Protein	20513	core	R6c	MEDIUM	78	RLR adaptor; PMID:16125763
20562	MTORC1	Complex	20513	core	R6c	LOW	72	mTOR complex 1
20563	MLST8	Protein	20513	core	R6c	LOW	70	mTOR partner
20564	MTOR	Protein	20513	core	R6c	LOW	72	mTOR ubiquitous
20565	RPTOR	Protein	20513	core	R6c	LOW	70	mTORC1 partner
20567	PLCB	Protein	20513	core	R6c	LOW	70	PLC-β
20568	HLA-H	Protein	20513	core	R6c	LOW	70	MHC-I pseudo
20569	STAT1 homodimer	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20570	HLA-B	Protein	20513	core	R6c	MEDIUM	78	MHC-I
20573	TLR2	Protein	20513	core	R6c	MEDIUM	82	InnateDB; PMID:9237759 TLR2 myeloid+epithelial
20577	FADD	Protein	20513	core	R6c	LOW	72	Death adaptor; ubiquitous
20578	MAP3K14	Protein	20513	core	R6c	MEDIUM	75	NIK non-canonical NFkB
20581	EDA/EDAR	Complex	20513	core	R6c	MEDIUM	78	Ectodysplasin axis epithelial
20582	EDAR	Protein	20513	core	R6c	MEDIUM	78	EDA receptor epithelial
20584	GLUT1	Protein	20513	core	R6c	LOW	70	SLC2A1 ubiquitous
20587	ITGB1	Protein	20513	core	R6c	LOW	72	β1 integrin ubiquitous
20588	BST2	Protein	20513	core	R6c	MEDIUM	75	Tetherin ISG; PMID:18342598
20594	IRAK4/IRAK1,2/IRAKM	Complex	20513	core	R6c	LOW	72	Myddosome; Reactome:R-HSA-975144
20595	IRAK4	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-9020702; PMID:12055258
20597	IRAK1,2	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-9020702 IL-1/TLR signal
20598	MARCHF8	Protein	20513	core	R6c	MEDIUM	75	MHC-II ubiquitin ligase PMID:18794341
20599	TRAF2/TRAF3	Complex	20513	core	R6c	LOW	72	TRAF complex
20600	TANK	Protein	20513	core	R6c	LOW	70	TBK1 partner
20601	TRAF3	Protein	20513	core	R6c	LOW	72	TNFR/TLR adaptor
20605	XAF1	Protein	20513	core	R6c	LOW	70	ISG; pro-apoptotic
20607	CCL11	Protein	20513	core	R6c	MEDIUM	75	Eotaxin epithelial
20609	TYK2	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20620	HERC5	Protein	20513	core	R6c	MEDIUM	75	ISG E3 ligase ISGylation PMID:16275642
20624	MAP3K1	Protein	20513	core	R6c	MEDIUM	75	MEKK1
20625	SOCS1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20626	GBP1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20627	GNAI	Protein	20513	core	R6c	LOW	70	Gαi ubiquitous
20628	IL6R	Complex	20513	core	R6c	MEDIUM	75	IL-6R; KEGG:hsa04630
20629	IL6RA	Protein	20513	core	R6c	MEDIUM	75	IL-6Rα
20630	IL6ST	Protein	20513	core	R6c	MEDIUM	75	gp130 ubiquitous
20631	CXCL12/CXCR4	Complex	20513	core	R6c	LOW	70	SDF-1/CXCR4
20633	CXCR4	Protein	20513	core	R6c	LOW	72	Ubiquitous SDF-1R
20634	TRIM22	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20635	TLR3	Protein	20513	core	R6c	MEDIUM	82	InnateDB; PMID:14976262 TLR3 dsRNA epithelial+DC
20638	SOCS3	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20639	IRF1	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20645	IFI27	Protein	20513	core	R6c	MEDIUM	75	ISG; Mavragani 2017 PMID:28604219 SjD signature
20648	CXCL1	Protein	20513	core	R6c	MEDIUM	75	GROα
20649	IRF9	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20651	TLR2	Protein	20513	core	R6c	MEDIUM	82	InnateDB; PMID:9237759 TLR2 myeloid+epithelial
20655	TLR3/dsRNA/PolyIC	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20656	TLR3	Protein	20513	core	R6c	MEDIUM	82	InnateDB; PMID:14976262 TLR3 dsRNA epithelial+DC
20665	EIF2AK2	Protein	20513	core	R6c	MEDIUM	75	PKR antiviral, Reactome:R-HSA-1834941
