reaction_id	reaction_type	reactants	products	modifiers
re200	Transcription	21510:IRF1	21531:IRF1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re229	Physical stimulation	21062:HLA-DQA1	21548:MHC_Class_2_Activation	
re530	State transition	21466:HNRNPA2B1	20515:HNRNPA2B1	
re790	Negative influence	21320:CDKN1A	21552:Apoptosis	
re791	Negative influence	21363:SESN1	21552:Apoptosis	
re677	Physical stimulation	21065:FCGR1BP	21541:Inflammation	
re155	Transcription	21235:IFI6	21264:IFI6	21485:STAT1/STAT2/IRF9
re273	State transition	21298:MT2A	21156:MT2A	
re143	Transcription	21395:RSAD2	21405:RSAD2	20655:TLR3/dsRNA/PolyIC;20884:PRMT5;20943:TLR7/ssRNA;20956:CD40LG/CD40;21485:STAT1/STAT2/IRF9
re85	State transition	21083:STAT1	20569:STAT1 homodimer	
re164	State transition	21420:IP6K2	21073:IP6K2	
re564	State transition	21191:MAP2K1	20992:MAP2K1	20804:RAF
re159	Transcription	21473:HLA-A	21376:HLA-A	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re762	State transition	21279:TNFRSF10A	21067:TNFRSF10A,B	
re765	Transcription	21471:SHISA5	21439:SHISA5	21233:TP53
re841	State transition	21312:HLA-DQA2	21010:HLA-DQA2	
re286	Transport	20780:EIF2AK2 homodimer	20879:EIF2AK2 homodimer	
re135	Transcription	21436:IP6K2	21420:IP6K2	21485:STAT1/STAT2/IRF9
re848	State transition	21307:IFI27	20645:IFI27	
re460	Transcription	21340:IKBIP	21537:IKBIP	21233:TP53
re207	State transition	21317:IRF9	20649:IRF9	
re803	State transition	21502:ETS1	21152:ETS1	
re768	Transcription	21425:CD82	21374:CD82	21233:TP53
re245	Transcription	21422:TRIM25	21283:TRIM25	21240:STAT1 homodimer
re158	Transcription	21521:EIF2AK2	21454:EIF2AK2	21485:STAT1/STAT2/IRF9
re417	Heterodimer association	20585:ITGA4/ITGB1;21556:VCAM1	21123:VCAM/ITGA4/ITGB1	
re7	Transport	21047:STAT1/STAT2/IRF9	21485:STAT1/STAT2/IRF9	21018:KPNB1
re175	State transition	21383:IFIT3	21057:IFIT3	
re147	Transcription	21424:IFIT5	21282:IFIT5	21485:STAT1/STAT2/IRF9
re266	State transition	21281:TRIM34	21091:TRIM34	
re784	State transition	21299:GBP1	20626:GBP1	
re228	Physical stimulation	20757:HLA-DRA	21548:MHC_Class_2_Activation	
re139	Transcription	21347:OAS1	21402:OAS1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re261	State transition	21348:TRIM6	21142:TRIM6	
re338	Heterodimer association	20795:CXCR4;21604:CXCL12	20631:CXCL12/CXCR4	
re243	Transcription	21511:TRIM21	21539:TRIM21	20655:TLR3/dsRNA/PolyIC;21240:STAT1 homodimer
re265	State transition	21283:TRIM25	20666:TRIM25	
re761	Transcription	21453:TNFRSF10A	21279:TNFRSF10A	21233:TP53
re846	State transition	21524:HLA-C	20996:HLA-C	
re654	Physical stimulation	20546:TRIM14	21541:Inflammation	
re845	State transition	21389:HLA-H	20568:HLA-H	
re268	State transition	21296:PML	20798:PML	
re604	Transport	21211:SMAD2/SMAD3/SMAD4	21332:SMAD2/SMAD3/SMAD4	
re780	State transition	21270:GBP2	20706:GBP2	
re568	State transition	20776:SHC1	21148:SHC1	21035:IL21/IL21R;21052:SRC
re145	Transcription	21483:IFIT2	21434:IFIT2	21485:STAT1/STAT2/IRF9
re534	State transition	21387:LMNB1	20514:LMNB1	
re212	Physical stimulation	20996:HLA-C	21551:MHC_Class_1_Activation	
re235	Transcription	21449:FCGR1BP	21458:FCGR1BP	21240:STAT1 homodimer
re186	State transition	21531:IRF1	21094:IRF1	
re802	Transcription	21522:ETS1	21502:ETS1	21268:SP100
re864	Negative influence	21374:CD82	21549:Angiogenesis	
re196	Transcription	21506:SOCS1	21457:SOCS1	21468:STAT5 homodimer
re805	Transport	21152:ETS1	21354:ETS1	
re861	State transition	21439:SHISA5	21184:SHISA5	
re787	State transition	21238:GBP5	20767:GBP5	
re98	State transition	20820:STAT5A/B	20571:STAT5A/B	20775:JAK3
