node_id	node_name	node_type	compartment_id	celltype	confidence	rule	evidence	plausibility_score	source
20513	Cell	Compartment		UNASSIGNED		R7		0	
20514	LMNB1	Protein	20513	BCELL	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	M1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	M2	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	PDC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	PLASMA	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	SGEC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	TFH	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	TH1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	TH17	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20514	LMNB1	Protein	20513	TREG	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	Lamin B1 housekeeping
20515	HNRNPA2B1	Protein	20513	BCELL	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	M1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	M2	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	PDC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	PLASMA	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	SGEC	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	TFH	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	TH1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	TH17	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20515	HNRNPA2B1	Protein	20513	TREG	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	RNA binding housekeeping
20516	RAC1	Protein	20513	BCELL	LOW	R5	neighbors_vote={'PLASMA': 2, 'BCELL': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20516	RAC1	Protein	20513	PLASMA	LOW	R5	neighbors_vote={'PLASMA': 2, 'BCELL': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20517	NLRC5	Protein	20513	BCELL	LOW	R5	neighbors_vote={'PLASMA': 2, 'BCELL': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20517	NLRC5	Protein	20513	PLASMA	LOW	R5	neighbors_vote={'PLASMA': 2, 'BCELL': 2}	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20518	CXCR5	Protein	20513	TFH	HIGH	R3	marker=CXCR5	95	HGNC:1060; PMID:11160276 Breitfeld 2000 TFH
20519	NFKBIA	Protein	20513	BCELL	MEDIUM	R4	R-HSA-2871837;R-HSA-983705	80	Reactome:R-HSA-983705 via MINERVA notes
20519	NFKBIA	Protein	20513	PLASMA	MEDIUM	R4	R-HSA-2871837;R-HSA-983705	80	Reactome:R-HSA-983705 via MINERVA notes
20520	LTB-TNFSF14/LTBR	Complex	20513	BCELL	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20520	LTB-TNFSF14/LTBR	Complex	20513	M1	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20520	LTB-TNFSF14/LTBR	Complex	20513	M2	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20520	LTB-TNFSF14/LTBR	Complex	20513	SGEC	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20520	LTB-TNFSF14/LTBR	Complex	20513	TH1	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20520	LTB-TNFSF14/LTBR	Complex	20513	TH17	LOW	R6	default_signaling_fallback	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20521	LTB,TNFSF14	Protein		UNASSIGNED		R7		0	
20522	LTBR	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	LTβR stromal/epithelial PMID:9716579
