trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
disease_ag_t0	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	155	150	124	200	180	153
disease_ag_t1	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	150	124	200	180	153
disease_ag_t2	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	150	124	200	180	153
disease_ag_t3	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	156	150	124	200	180	153
disease_ag_t4	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	151	124	200	180	153
disease_ag_t5	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	151	124	200	180	153
disease_ag_t6	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	156	151	124	200	180	153
disease_ag_t7	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	155	151	124	200	180	153
disease_ag_t8	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	156	152	124	200	180	153
disease_ag_t9	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	156	151	124	200	180	153
disease_ag_t10	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	152	124	200	180	153
disease_ag_t11	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	151	124	200	180	153
disease_ag_t12	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	152	124	200	180	153
disease_ag_t13	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	151	124	200	180	153
disease_ag_t14	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	155	152	124	200	180	153
disease_ag_t15	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	166	163	174	179	155	151	124	200	180	153
disease_ag_t16	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	152	124	200	180	153
disease_ag_t17	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	151	124	200	180	153
disease_ag_t18	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	152	124	200	180	153
disease_ag_t19	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	151	124	200	180	153
disease_ag_t20	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	151	124	200	180	153
disease_ag_t21	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	156	150	124	200	180	153
disease_ag_t22	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	151	124	200	180	153
disease_ag_t23	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	167	163	174	179	155	150	124	200	180	153
disease_ag_t24	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	155	151	124	200	180	153
disease_ag_t25	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	155	152	124	200	180	153
disease_ag_t26	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	155	150	124	200	180	153
disease_ag_t27	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	155	151	124	200	180	153
disease_ag_t28	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	156	151	124	200	180	153
disease_ag_t29	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	156	150	124	200	180	153
disease_ag_t30	disease_ag	disease	2	7	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	168	163	174	179	156	152	124	200	180	153
