trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
disease_full_t0	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	162	124	206	191	144
disease_full_t1	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	161	124	206	191	144
disease_full_t2	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	161	125	206	191	144
disease_full_t3	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	162	125	206	191	144
disease_full_t4	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	162	126	206	191	144
disease_full_t5	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	162	125	206	191	144
disease_full_t6	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	161	126	206	191	144
disease_full_t7	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	163	169	153	161	125	206	191	144
disease_full_t8	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	126	206	191	144
disease_full_t9	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	125	206	191	144
disease_full_t10	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	126	206	191	144
disease_full_t11	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	125	206	191	144
disease_full_t12	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	125	206	191	144
disease_full_t13	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	162	124	206	191	144
disease_full_t14	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	125	206	191	144
disease_full_t15	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	163	168	162	169	153	161	124	206	191	144
disease_full_t16	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t17	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	125	206	191	144
disease_full_t18	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	126	206	191	144
disease_full_t19	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	126	206	191	144
disease_full_t20	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t21	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	125	206	191	144
disease_full_t22	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	124	206	191	144
disease_full_t23	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	124	206	191	144
disease_full_t24	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	124	206	191	144
disease_full_t25	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
disease_full_t26	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	124	206	191	144
disease_full_t27	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	125	206	191	144
disease_full_t28	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
disease_full_t29	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	125	206	191	144
disease_full_t30	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	126	206	191	144
disease_full_t31	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	126	206	191	144
disease_full_t32	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	126	206	191	144
disease_full_t33	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	162	126	206	191	144
disease_full_t34	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	126	206	191	144
disease_full_t35	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	161	126	206	191	144
disease_full_t36	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
disease_full_t37	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	162	125	206	191	144
disease_full_t38	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t39	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	161	125	206	191	144
disease_full_t40	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	125	206	191	144
