trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
healthy_t0	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	147
healthy_t1	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	242	195	180	169	147
healthy_t2	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	147
healthy_t3	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	242	195	180	169	147
healthy_t4	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	148
healthy_t5	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	148
healthy_t6	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	242	195	180	169	148
healthy_t7	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	242	195	180	169	148
healthy_t8	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	148
healthy_t9	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	147
healthy_t10	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	148
healthy_t11	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	240	195	180	169	147
healthy_t12	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	148
healthy_t13	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	240	195	180	169	147
healthy_t14	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	148
healthy_t15	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	147
healthy_t16	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	241	195	180	169	148
