Species_ID,Relation1,Identifier1,Constant,InitialLevel,Comments
LMNB1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20514 BCELL_s20514
HNRNPA2B1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20515 BCELL_s20515
RAC1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20516 BCELL_s20516
NLRC5_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20517 BCELL_s20517
NFKBIA_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20519 BCELL_s20519
LTB-TNFSF14/LTBR_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20520 BCELL_s20520
LTBR_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20522 BCELL_s20522
IFNAR_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20523 BCELL_s20523
IFNAR1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20524 BCELL_s20524
IFNAR2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20525 BCELL_s20525
dsRNA_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20526 BCELL_s20526
PPP2R1A_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20527 BCELL_s20527
XIAP_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20528 BCELL_s20528
AKT_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20529 BCELL_s20529
PTPN2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20530 BCELL_s20530
CARD11_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20532 BCELL_s20532
BCL10_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20533 BCELL_s20533
MALT1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20534 BCELL_s20534
LTBR_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20535 BCELL_s20535
Allergen/IgE/FCERI_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20536 BCELL_s20536
TRIM14_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20546 BCELL_s20546
OAS3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20547 BCELL_s20547
PTK2B_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20549 BCELL_s20549
PLCG_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20550 BCELL_s20550
TBK1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20552 BCELL_s20552
IKBKE_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20553 BCELL_s20553
RPLP0_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20556 BCELL_s20556
PI3K_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20557 BCELL_s20557
TNFRSF11A_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20558 BCELL_s20558
IFI30_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20559 BCELL_s20559
TICAM1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20561 BCELL_s20561
MLST8_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20563 BCELL_s20563
MTOR_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20564 BCELL_s20564
RPTOR_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20565 BCELL_s20565
PLCB_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20567 BCELL_s20567
HLA-H_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20568 BCELL_s20568
HLA-B_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20570 BCELL_s20570
STAT5A/B_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20571 BCELL_s20571
FADD_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20577 BCELL_s20577
USP18_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20580 BCELL_s20580
GLUT1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20584 BCELL_s20584
ITGA4/ITGB1_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20585 BCELL_s20585
ITGB1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20587 BCELL_s20587
BST2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20588 BCELL_s20588
TNFAIP3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20589 BCELL_s20589
Ag/IgG/FCGR3A_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20590 BCELL_s20590
"IRAK4/IRAK1,2/IRAKM_complex_BCELL Cytoplasm",isDescribedBy,,True,,sa_BCELL_s20594 BCELL_s20594
IRAK4_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20595 BCELL_s20595
"IRAK1,2_BCELL Cytoplasm",isDescribedBy,,True,,sa_BCELL_s20597 BCELL_s20597
MARCHF8_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20598 BCELL_s20598
TRAF2/TRAF3_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20599 BCELL_s20599
TANK_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20600 BCELL_s20600
TRAF3_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20601 BCELL_s20601
XAF1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20605 BCELL_s20605
TYK2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20609 BCELL_s20609
TNFRSF13B_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20610 BCELL_s20610
NLRX1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20611 BCELL_s20611
IgE/FCERI_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20615 BCELL_s20615
HERC5_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20620 BCELL_s20620
SOCS1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20625 BCELL_s20625
GBP1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20626 BCELL_s20626
GNAI_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20627 BCELL_s20627
IL6R_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20628 BCELL_s20628
IL6RA_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20629 BCELL_s20629
IL6ST_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20630 BCELL_s20630
CXCL12/CXCR4_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20631 BCELL_s20631
CXCR4_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20633 BCELL_s20633
TRIM22_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20634 BCELL_s20634
SOCS3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20638 BCELL_s20638
IRF1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20639 BCELL_s20639
IL7R_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20641 BCELL_s20641
IL2RG_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20642 BCELL_s20642
IL7RA_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20643 BCELL_s20643
IFI27_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20645 BCELL_s20645
IRF9_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20649 BCELL_s20649
TLR3/dsRNA/PolyIC_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20655 BCELL_s20655
ca2_ion_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20658 BCELL_s20658
CD27/CD70_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20659 BCELL_s20659
CD70_space_homotrimer_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20660 BCELL_s20660
EIF2AK2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20665 BCELL_s20665
TRIM25_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20666 BCELL_s20666
FADD_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20667 BCELL_s20667
SMAD2/SMAD3_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20668 BCELL_s20668
SMAD3_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20669 BCELL_s20669
SMAD2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20670 BCELL_s20670
RANKL/RANK_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20671 BCELL_s20671
TNFRSF11A_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20673 BCELL_s20673
TNFRSF13C_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20674 BCELL_s20674
Calmodulin/Ca2+_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20675 BCELL_s20675
CALM1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20676 BCELL_s20676
ca2_ion_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20677 BCELL_s20677
