Target,Level,Rule,Relation1,Identifier1
RAC1_BCELL Cytoplasm,1,Allergen/IgE/FCERI_complex_BCELL Cytoplasm,isDescribedBy,
NFKBIA_BCELL Cytoplasm,1,NFKBIA_rna_BCELL Nucleus,isDescribedBy,
LTB-TNFSF14/LTBR_complex_BCELL Cytoplasm,1,(LTBR_BCELL Cytoplasm_1&TNFSF14|LTB&LTBR_BCELL Cytoplasm_1),isDescribedBy,
IFNAR1_BCELL Cytoplasm,1,(IFNA_Secreted|IFNB1_Extracellular),isDescribedBy,
IFNAR2_BCELL Cytoplasm,1,(IFNA_Secreted|IFNB1_Extracellular),isDescribedBy,
dsRNA_BCELL Cytoplasm,1,dsRNA/polyIC,isDescribedBy,
XIAP_BCELL Cytoplasm,1,XIAP_BCELL Cytoplasm_1&!XAF1_BCELL Cytoplasm,isDescribedBy,
AKT_BCELL Cytoplasm,1,"PI(3,4,5)P3_BCELL Cytoplasm&!PPP2R1A_BCELL Cytoplasm_1",isDescribedBy,
Allergen/IgE/FCERI_complex_BCELL Cytoplasm,1,Allergen&IgE/FCERI_complex_BCELL Cytoplasm,isDescribedBy,
TRIM14_BCELL Cytoplasm,1,TRIM14_rna_BCELL Nucleus,isDescribedBy,
OAS3_BCELL Cytoplasm,1,OAS3_rna_BCELL Nucleus,isDescribedBy,
TNFRSF11A_BCELL Cytoplasm,1,(TNFSF11|TNFSF11|TNFSF11|TNFSF11),isDescribedBy,
IFI30_BCELL Cytoplasm,1,IFI30_rna_BCELL Nucleus,isDescribedBy,
HLA-H_BCELL Cytoplasm,1,HLA-H_rna_BCELL Nucleus,isDescribedBy,
HLA-B_BCELL Cytoplasm,1,HLA-B_rna_BCELL Nucleus,isDescribedBy,
STAT5A/B_BCELL Cytoplasm,1,JAK3_BCELL Cytoplasm,isDescribedBy,
GLUT1_BCELL Cytoplasm,1,GLUT1_rna_BCELL Nucleus,isDescribedBy,
BST2_BCELL Cytoplasm,1,BST2_rna_BCELL Nucleus,isDescribedBy,
TNFAIP3_BCELL Cytoplasm,1,TNFAIP3_rna_BCELL Nucleus,isDescribedBy,
MARCHF8_BCELL Cytoplasm,1,BST2_BCELL Cytoplasm,isDescribedBy,
XAF1_BCELL Cytoplasm,1,XAF1_rna_BCELL Nucleus,isDescribedBy,
TYK2_BCELL Cytoplasm,1,(IFNA/IFNAR_complex_BCELL Cytoplasm|IFNB/IFNAR_complex_BCELL Cytoplasm|IL12/IL12R_complex_BCELL Cytoplasm)&!SOCS1_BCELL Cytoplasm&!SOCS2_BCELL Cytoplasm&!SOCS3_BCELL Cytoplasm,isDescribedBy,
TNFRSF13B_BCELL Cytoplasm,1,(TNFSF13|TNFSF13B_Secreted|TNFSF13B_Secreted|TNFSF13|TNFSF13B_Secreted),isDescribedBy,
SOCS1_BCELL Cytoplasm,1,SOCS2_rna_BCELL Nucleus,isDescribedBy,
GBP1_BCELL Cytoplasm,1,GBP1_rna_BCELL Nucleus,isDescribedBy,
IL6R_complex_BCELL Cytoplasm,1,(IL6_Extracellular|IL6_Extracellular|IL6_Extracellular|IL6_Extracellular),isDescribedBy,
IL6ST_BCELL Cytoplasm,1,(IL6_Extracellular|IL6_Extracellular|IL6_Extracellular|IL6_Extracellular),isDescribedBy,
CXCL12/CXCR4_complex_BCELL Cytoplasm,1,CXCL12_Extracellular&CXCR4_BCELL Cytoplasm_1,isDescribedBy,
CXCR4_BCELL Cytoplasm,1,CXCL12_Extracellular,isDescribedBy,
TRIM22_BCELL Cytoplasm,1,TRIM22_rna_BCELL Nucleus,isDescribedBy,
SOCS3_BCELL Cytoplasm,1,SOCS3_rna_BCELL Nucleus,isDescribedBy,
IRF1_BCELL Cytoplasm,1,IRF1_BCELL Cytoplasm_1,isDescribedBy,
IL7R_complex_BCELL Cytoplasm,1,IL7,isDescribedBy,
IL2RG_BCELL Cytoplasm,1,(IL2_Secreted|IL2_Secreted|IL2_Secreted),isDescribedBy,
IFI27_BCELL Cytoplasm,1,IFI27_rna_BCELL Nucleus,isDescribedBy,
IRF9_BCELL Cytoplasm,1,IRF9_rna_BCELL Nucleus,isDescribedBy,
ca2_ion_BCELL Cytoplasm,1,PIP3/IP3R_complex_BCELL EndoplasmicReticulum,isDescribedBy,
CD27/CD70_complex_BCELL Cytoplasm,1,CD27&CD70_space_homotrimer_BCELL Cytoplasm_1,isDescribedBy,
EIF2AK2_BCELL Cytoplasm,1,EIF2AK2_rna_BCELL Nucleus,isDescribedBy,
TRIM25_BCELL Cytoplasm,1,TRIM25_rna_BCELL Nucleus,isDescribedBy,
SMAD2/SMAD3_complex_BCELL Cytoplasm,1,TGF/TGFBR1_complex_BCELL Cytoplasm,isDescribedBy,
RANKL/RANK_complex_BCELL Cytoplasm,1,TNFSF11&TNFRSF11A_BCELL Cytoplasm,isDescribedBy,
TNFRSF13C_BCELL Cytoplasm,1,(TNFSF13B_Secreted|TNFSF13B_Secreted|TNFSF13B_Secreted),isDescribedBy,
Calmodulin/Ca2+_complex_BCELL Cytoplasm,1,CALM1_BCELL Cytoplasm_1&ca2_ion_BCELL Cytoplasm&!CAMKMT_BCELL Cytoplasm,isDescribedBy,
SOS2_BCELL Cytoplasm,1,GRB2_BCELL Cytoplasm,isDescribedBy,
BAFF/BAFFR_complex_BCELL Cytoplasm,1,TNFSF13B_Extracellular&TNFRSF13C_BCELL Cytoplasm,isDescribedBy,
IFITM1_BCELL Cytoplasm,1,IFITM1_rna_BCELL Nucleus,isDescribedBy,
MX2_BCELL Cytoplasm,1,MX2_rna_BCELL Nucleus,isDescribedBy,
TNF/TNFR2_complex_BCELL Cytoplasm,1,TNF_Extracellular&TNFRSF1B_BCELL Cytoplasm_2,isDescribedBy,
TNFRSF1B_BCELL Cytoplasm,1,(TNF_Extracellular|TNF_Extracellular),isDescribedBy,
PRKC_BCELL Cytoplasm,1,DAG_BCELL Cytoplasm,isDescribedBy,
SYK_BCELL Cytoplasm,1,(LYN_BCELL Cytoplasm|Ag/IgG/FCGR1A_complex_BCELL Cytoplasm|Ag/IgG/FCGR2A_complex_BCELL Cytoplasm|Ag/IgG/FCGR3A_complex_BCELL Cytoplasm)&!PTPN6_BCELL Cytoplasm&!MHC1/B2M/LILR_complex_BCELL Cytoplasm,isDescribedBy,
STAT2_BCELL Cytoplasm,1,TYK2_BCELL Cytoplasm,isDescribedBy,
GBP3_BCELL Cytoplasm,1,GBP3_rna_BCELL Nucleus,isDescribedBy,
IFI35_BCELL Cytoplasm,1,IFI35_rna_BCELL Nucleus,isDescribedBy,
RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm,1,TRADD_BCELL Cytoplasm,isDescribedBy,
IL1R1_BCELL Cytoplasm,1,(IL1B|IL1B),isDescribedBy,
sialic_acid/CD22_complex_BCELL Cytoplasm,1,sialic_acid&CD22_BCELL Cytoplasm_1,isDescribedBy,
GBP2_BCELL Cytoplasm,1,GBP2_rna_BCELL Nucleus,isDescribedBy,
DAG_BCELL Cytoplasm,1,"(PLCG_BCELL Cytoplasm_1|PLCB_BCELL Cytoplasm_1|PI3K_BCELL Cytoplasm_1)&PI(4,5)P2_BCELL Cytoplasm&!PTEN_BCELL Cytoplasm",isDescribedBy,
IKBIP_BCELL Cytoplasm,1,IKBIP_rna_BCELL Nucleus,isDescribedBy,
