raw	safe
ADAR1_space_homodimer_BCELL Cytoplasm	ADAR1_space_homodimer_BCELL_Cytoplasm
ADAR1_space_homodimer_M1 Cytoplasm	ADAR1_space_homodimer_M1_Cytoplasm
ADAR1_space_homodimer_M2 Cytoplasm	ADAR1_space_homodimer_M2_Cytoplasm
ADAR1_space_homodimer_PDC Cytoplasm	ADAR1_space_homodimer_PDC_Cytoplasm
ADAR1_space_homodimer_PLASMA Cytoplasm	ADAR1_space_homodimer_PLASMA_Cytoplasm
ADAR1_space_homodimer_SGEC Cytoplasm	ADAR1_space_homodimer_SGEC_Cytoplasm
ADAR1_space_homodimer_TFH Cytoplasm	ADAR1_space_homodimer_TFH_Cytoplasm
ADAR1_space_homodimer_TH1 Cytoplasm	ADAR1_space_homodimer_TH1_Cytoplasm
ADAR1_space_homodimer_TH17 Cytoplasm	ADAR1_space_homodimer_TH17_Cytoplasm
ADAR1_space_homodimer_TREG Cytoplasm	ADAR1_space_homodimer_TREG_Cytoplasm
ADAR_BCELL Cytoplasm	ADAR_BCELL_Cytoplasm
ADAR_M1 Cytoplasm	ADAR_M1_Cytoplasm
ADAR_M2 Cytoplasm	ADAR_M2_Cytoplasm
ADAR_PDC Cytoplasm	ADAR_PDC_Cytoplasm
ADAR_PLASMA Cytoplasm	ADAR_PLASMA_Cytoplasm
ADAR_SGEC Cytoplasm	ADAR_SGEC_Cytoplasm
ADAR_TFH Cytoplasm	ADAR_TFH_Cytoplasm
ADAR_TH1 Cytoplasm	ADAR_TH1_Cytoplasm
ADAR_TH17 Cytoplasm	ADAR_TH17_Cytoplasm
ADAR_TREG Cytoplasm	ADAR_TREG_Cytoplasm
ADAR_rna_BCELL Nucleus	ADAR_rna_BCELL_Nucleus
ADAR_rna_M1 Nucleus	ADAR_rna_M1_Nucleus
ADAR_rna_M2 Nucleus	ADAR_rna_M2_Nucleus
ADAR_rna_PDC Nucleus	ADAR_rna_PDC_Nucleus
ADAR_rna_PLASMA Nucleus	ADAR_rna_PLASMA_Nucleus
ADAR_rna_SGEC Nucleus	ADAR_rna_SGEC_Nucleus
ADAR_rna_TFH Nucleus	ADAR_rna_TFH_Nucleus
ADAR_rna_TH1 Nucleus	ADAR_rna_TH1_Nucleus
ADAR_rna_TH17 Nucleus	ADAR_rna_TH17_Nucleus
ADAR_rna_TREG Nucleus	ADAR_rna_TREG_Nucleus
AKT_BCELL Cytoplasm	AKT_BCELL_Cytoplasm
AKT_PLASMA Cytoplasm	AKT_PLASMA_Cytoplasm
AP1_complex_BCELL Nucleus	AP1_complex_BCELL_Nucleus
AP1_complex_M1 Nucleus	AP1_complex_M1_Nucleus
AP1_complex_M2 Nucleus	AP1_complex_M2_Nucleus
AP1_complex_PDC Nucleus	AP1_complex_PDC_Nucleus
AP1_complex_PLASMA Nucleus	AP1_complex_PLASMA_Nucleus
AP1_complex_SGEC Nucleus	AP1_complex_SGEC_Nucleus
AP1_complex_TFH Nucleus	AP1_complex_TFH_Nucleus
AP1_complex_TH1 Nucleus	AP1_complex_TH1_Nucleus
AP1_complex_TH17 Nucleus	AP1_complex_TH17_Nucleus
AP1_complex_TREG Nucleus	AP1_complex_TREG_Nucleus
ARF1_BCELL Cytoplasm	ARF1_BCELL_Cytoplasm
ARF1_M1 Cytoplasm	ARF1_M1_Cytoplasm
ARF1_M2 Cytoplasm	ARF1_M2_Cytoplasm
ARF1_PDC Cytoplasm	ARF1_PDC_Cytoplasm
ARF1_PLASMA Cytoplasm	ARF1_PLASMA_Cytoplasm
ARF1_SGEC Cytoplasm	ARF1_SGEC_Cytoplasm
ARF1_TFH Cytoplasm	ARF1_TFH_Cytoplasm
ARF1_TH1 Cytoplasm	ARF1_TH1_Cytoplasm
ARF1_TH17 Cytoplasm	ARF1_TH17_Cytoplasm
ARF1_TREG Cytoplasm	ARF1_TREG_Cytoplasm
ARF1_gene_BCELL Nucleus	ARF1_gene_BCELL_Nucleus
ARF1_gene_M2 Nucleus	ARF1_gene_M2_Nucleus
ARF1_gene_PLASMA Nucleus	ARF1_gene_PLASMA_Nucleus
ARF1_gene_SGEC Nucleus	ARF1_gene_SGEC_Nucleus
ARF1_gene_TFH Nucleus	ARF1_gene_TFH_Nucleus
ARF1_gene_TH17 Nucleus	ARF1_gene_TH17_Nucleus
ARF1_gene_TREG Nucleus	ARF1_gene_TREG_Nucleus
ARF1_rna_M1 Nucleus	ARF1_rna_M1_Nucleus
ARF1_rna_PDC Nucleus	ARF1_rna_PDC_Nucleus
ARF1_rna_TH1 Nucleus	ARF1_rna_TH1_Nucleus
Ag/IgG/FCGR1A_complex_BCELL Cytoplasm	Ag_IgG_FCGR1A_complex_BCELL_Cytoplasm
Ag/IgG/FCGR1A_complex_M1 Cytoplasm	Ag_IgG_FCGR1A_complex_M1_Cytoplasm
Ag/IgG/FCGR1A_complex_M2 Cytoplasm	Ag_IgG_FCGR1A_complex_M2_Cytoplasm
Ag/IgG/FCGR1A_complex_PLASMA Cytoplasm	Ag_IgG_FCGR1A_complex_PLASMA_Cytoplasm
Ag/IgG/FCGR2A_complex_BCELL Cytoplasm	Ag_IgG_FCGR2A_complex_BCELL_Cytoplasm
Ag/IgG/FCGR2A_complex_M1 Cytoplasm	Ag_IgG_FCGR2A_complex_M1_Cytoplasm
Ag/IgG/FCGR2A_complex_M2 Cytoplasm	Ag_IgG_FCGR2A_complex_M2_Cytoplasm
